Image_Link,Species_Name,Common_Name
/afbid/search/browse/species/1631/28,Cisticola cinereolus (2),Ashy Cisticola
/afbid/search/browse/species/2728/28,Cisticola distinctus (1),Lynes's Cisticola
/afbid/search/browse/species/1618/28,Cisticola erythrops (1),Red-faced Cisticola
/afbid/search/browse/species/2659/28,Cisticola galactotes (2),Rufous-winged Cisticola
/afbid/search/browse/species/2740/28,Cisticola haematocephalus (1),Coastal Cisticola
/afbid/search/browse/species/1625/28,Cisticola hunteri (7),Hunter’s Cisticola
/afbid/search/browse/species/1636/28,Cisticola marginatus (6),Winding Cisticola
/afbid/search/browse/species/1645/28,Cisticola nana (2),Tiny Cisticola
/afbid/search/browse/species/1642/28,Cisticola natalensis (1),Croaking Cisticola
/afbid/search/browse/species/1640/28,Cisticola robustus (4),Stout Cisticola
/afbid/search/browse/species/1639/28,Cisticola tinniens (2),Levaillant’s Cisticola
/afbid/search/browse/species/761/28,Clamator glandarius (1),Great Spotted Cuckoo
/afbid/search/browse/species/759/28,Clamator jacobinus (1),Jacobin Cuckoo
/afbid/search/browse/species/304/28,Clanga clanga (1),Greater Spotted Eagle
/afbid/search/browse/species/303/28,Clanga pomarina (3),Lesser Spotted Eagle
/afbid/search/browse/species/2640/28,Coccopygia quartinia (2),Yellow-bellied Waxbill
/afbid/search/browse/species/907/28,Colius leucocephalus (5),White-headed Mousebird
/afbid/search/browse/species/906/28,Colius striatus (5),Speckled Mousebird
/afbid/search/browse/species/685/28,Columba arquatrix (1),African Olive Pigeon
/afbid/search/browse/species/683/28,Columba delegorguei (2),Eastern Bronze-naped Pigeon
/afbid/search/browse/species/694/28,Columba guinea (4),Speckled Pigeon
/afbid/search/browse/species/684/28,Columba larvata (1),Lemon Dove
/afbid/search/browse/species/956/28,Coracias caudatus (16),Lilac-breasted Roller
/afbid/search/browse/species/955/28,Coracias garrulus (7),European Roller
/afbid/search/browse/species/952/28,Coracias naevius (2),Purple Roller
/afbid/search/browse/species/2091/28,Corvus albicollis (1),White-necked Raven
/afbid/search/browse/species/2088/28,Corvus edithae (1),Somali Crow
/afbid/search/browse/species/2095/28,Corvus splendens (1),House Crow
/afbid/search/browse/species/1108/28,Corypha africana (6),Rufous-naped Lark
/afbid/search/browse/species/2788/28,Corypha athi (6),Sentinel Lark
/afbid/search/browse/species/1109/28,Corypha hypermetra (4),Red-winged Lark
/afbid/search/browse/species/925/28,Corythornis cristatus (6),Malachite Kingfisher
/afbid/search/browse/species/1361/28,Cossypha cyanocampter (1),Blue-shouldered Robin-Chat
/afbid/search/browse/species/1363/28,Cossypha heuglini (2),White-browed Robin-Chat
/afbid/search/browse/species/1362/28,Cossypha semirufa (2),Rüppell's Robin-Chat
/afbid/search/browse/species/355/28,Coturnix delegorguei (3),Harlequin Quail
/afbid/search/browse/species/2148/28,Creatophora cinerea (5),Wattled Starling
/afbid/search/browse/species/756/28,Crinifer leucogaster (7),White-bellied Go-away-bird
/afbid/search/browse/species/755/28,Crinifer personatus (5),Bare-faced Go-away-bird
/afbid/search/browse/species/758/28,Crinifer zonurus (1),Eastern Plantain-eater
/afbid/search/browse/species/2417/28,Crithagra burtoni (3),Thick-billed Seedeater
/afbid/search/browse/species/2395/28,Crithagra citrinelloides (6),African Citril
/afbid/search/browse/species/2410/28,Crithagra donaldsoni (3),Northern Grosbeak-Canary
/afbid/search/browse/species/2407/28,Crithagra dorsostriata (2),White-bellied Canary
/afbid/search/browse/species/2399/28,Crithagra koliensis (1),Papyrus Canary
/afbid/search/browse/species/2406/28,Crithagra mozambica (2),Yellow-fronted Canary
/afbid/search/browse/species/2403/28,Crithagra reichenowi (3),Reichenow’s Seedeater
